Milliseconds;Task
115000ms;emulator
174ms;barcodescanner:clean
433ms;launcher-app:clean
205ms;barcodescanner:preBuild
245ms;barcodescanner:compileDebugAidl
151ms;barcodescanner:compileDebugRenderscript
54ms;barcodescanner:generateDebugBuildConfig
77ms;barcodescanner:mergeDebugAssets
1950ms;barcodescanner:packageDebugResources
434ms;barcodescanner:processDebugManifest
376ms;barcodescanner:processDebugResources
4731ms;barcodescanner:compileDebugJava
88ms;barcodescanner:compileReleaseRenderscript
55ms;barcodescanner:mergeReleaseAssets
870ms;barcodescanner:packageReleaseResources
131ms;barcodescanner:processReleaseManifest
272ms;barcodescanner:processReleaseResources
2166ms;barcodescanner:compileReleaseJava
10758ms;barcodescanner:lint
439ms;barcodescanner:packageReleaseJar
171ms;barcodescanner:bundleRelease
64ms;launcher-app:preBuild
174ms;launcher-app:prepareComAndroidSupportSupportV42103Library
993ms;launcher-app:prepareDkAauCsGirafGirafComponent10Library
56ms;launcher-app:prepareDkAauCsGirafLocalDb10Library
96ms;launcher-app:prepareFrAvianeyComViewpagerindicatorLibrary241Library
133ms;launcher-app:prepareWorkspaceBarcodescannerUnspecifiedLibrary
19751ms;launcher-app:mergeDebugResources
161ms;launcher-app:processDebugManifest
744ms;launcher-app:processDebugResources
1298ms;launcher-app:compileDebugJava
19216ms;launcher-app:mergeReleaseResources
118ms;launcher-app:processReleaseManifest
565ms;launcher-app:processReleaseResources
638ms;launcher-app:compileReleaseJava
9303ms;launcher-app:lint
174ms;barcodescanner:packageDebugJar
226ms;barcodescanner:bundleDebug
74ms;barcodescanner:processDebugTestManifest
51ms;barcodescanner:mergeDebugTestAssets
401ms;barcodescanner:mergeDebugTestResources
485ms;barcodescanner:processDebugTestResources
130ms;barcodescanner:compileDebugTestJava
7823ms;barcodescanner:preDexDebugTest
1882ms;barcodescanner:dexDebugTest
804ms;barcodescanner:packageDebugTest
79ms;barcodescanner:connectedAndroidTest
50528ms;launcher-app:preDexDebug
5482ms;launcher-app:dexDebug
1567ms;launcher-app:packageDebug
237ms;launcher-app:zipalignDebug
87ms;launcher-app:processDebugTestResources
94ms;launcher-app:compileDebugTestJava
713ms;launcher-app:dexDebugTest
51ms;launcher-app:packageDebugTest
60651ms;launcher-app:connectedAndroidTest
97ms;launcher-app:increaseVersionCode
235ms;barcodescanner:preBuild
88ms;barcodescanner:compileReleaseRenderscript
52ms;barcodescanner:packageReleaseResources
60ms;barcodescanner:processReleaseResources
97ms;barcodescanner:compileReleaseJava
68ms;barcodescanner:packageReleaseJar
59ms;barcodescanner:bundleRelease
62ms;launcher-app:preBuild
124ms;launcher-app:prepareDkAauCsGirafGirafComponent10Library
81ms;launcher-app:renameApk
58ms;launcher-app:generateReleaseBuildConfig
294ms;launcher-app:mergeReleaseResources
455ms;launcher-app:processReleaseManifest
1077ms;launcher-app:processReleaseResources
3421ms;launcher-app:compileReleaseJava
8860ms;launcher-app:lintVitalRelease
57ms;launcher-app:compileReleaseNdk
329ms;launcher-app:preDexRelease
4737ms;launcher-app:dexRelease
2041ms;launcher-app:packageRelease
146ms;launcher-app:zipalignRelease
11322ms;launcher-app:publishApkRelease