0ms;emulator
96ms;barcodescanner:clean
353ms;launcher-app:clean
873ms;barcodescanner:preBuild
139ms;barcodescanner:compileDebugAidl
145ms;barcodescanner:compileDebugRenderscript
65ms;barcodescanner:generateDebugBuildConfig
134ms;barcodescanner:mergeDebugAssets
1491ms;barcodescanner:packageDebugResources
239ms;barcodescanner:processDebugManifest
352ms;barcodescanner:processDebugResources
3579ms;barcodescanner:compileDebugJava
52ms;barcodescanner:compileReleaseAidl
63ms;barcodescanner:compileReleaseRenderscript
814ms;barcodescanner:packageReleaseResources
105ms;barcodescanner:processReleaseManifest
434ms;barcodescanner:processReleaseResources
1290ms;barcodescanner:compileReleaseJava
10690ms;barcodescanner:lint
793ms;barcodescanner:packageReleaseJar
61ms;barcodescanner:compileReleaseNdk
159ms;barcodescanner:bundleRelease
80ms;launcher-app:preBuild
100ms;launcher-app:prepareComAndroidSupportSupportV42103Library
817ms;launcher-app:prepareDkAauCsGirafGirafComponent1040Library
208ms;launcher-app:prepareDkAauCsGirafLocalDb514Library
100ms;launcher-app:prepareWorkspaceBarcodescannerUnspecifiedLibrary
26272ms;launcher-app:mergeDebugResources
181ms;launcher-app:processDebugManifest
795ms;launcher-app:processDebugResources
1351ms;launcher-app:compileDebugJava
25953ms;launcher-app:mergeReleaseResources
193ms;launcher-app:processReleaseManifest
821ms;launcher-app:processReleaseResources
823ms;launcher-app:compileReleaseJava
27884ms;launcher-app:mergeUnsignedBuildResources
155ms;launcher-app:processUnsignedBuildManifest
940ms;launcher-app:processUnsignedBuildResources
821ms;launcher-app:compileUnsignedBuildJava
16594ms;launcher-app:lint
142ms;barcodescanner:packageDebugJar
174ms;barcodescanner:bundleDebug
139ms;barcodescanner:processDebugTestManifest
52ms;barcodescanner:mergeDebugTestAssets
433ms;barcodescanner:mergeDebugTestResources
486ms;barcodescanner:processDebugTestResources
59ms;barcodescanner:compileDebugTestJava
9278ms;barcodescanner:preDexDebugTest
1273ms;barcodescanner:dexDebugTest
615ms;barcodescanner:packageDebugTest
992ms;launcher-app:instrumentDebug
97612ms;launcher-app:dexDebug
2710ms;launcher-app:packageDebug
455ms;launcher-app:zipalignDebug
195ms;launcher-app:prepareComAndroidSupportTestEspressoEspressoCore20Library
135ms;launcher-app:processDebugTestResources
575ms;launcher-app:compileDebugTestJava
23737ms;launcher-app:dexDebugTest
820ms;launcher-app:packageDebugTest
39042ms;launcher-app:connectedAndroidTest
1377ms;launcher-app:createDebugCoverageReport
93ms;launcher-app:increaseVersionCode
70ms;barcodescanner:mergeReleaseProguardFiles
404ms;barcodescanner:preBuild
63ms;barcodescanner:compileReleaseAidl
164ms;barcodescanner:compileReleaseRenderscript
802ms;barcodescanner:mergeReleaseAssets
77ms;barcodescanner:packageReleaseResources
60ms;barcodescanner:processReleaseResources
111ms;barcodescanner:compileReleaseJava
162ms;barcodescanner:packageReleaseJar
102ms;launcher-app:preBuild
240ms;launcher-app:prepareDkAauCsGirafGirafComponent1040Library
54ms;launcher-app:prepareWorkspaceBarcodescannerUnspecifiedLibrary
55ms;launcher-app:compileReleaseRenderscript
104ms;launcher-app:renameApk
86ms;launcher-app:generateReleaseBuildConfig
413ms;launcher-app:mergeReleaseResources
514ms;launcher-app:processReleaseManifest
1085ms;launcher-app:processReleaseResources
3806ms;launcher-app:compileReleaseJava
11950ms;launcher-app:lintVitalRelease
125ms;launcher-app:compileReleaseNdk
102023ms;launcher-app:dexRelease
3471ms;launcher-app:packageRelease
159ms;launcher-app:zipalignRelease
10287ms;launcher-app:publishApkRelease